word,male,male_ratio,female,female_ratio,female_male_ratio
stori,1293,0.036088085,898,0.037235145,1.031785013
blue,432,0.012057272,300,0.012439358,1.031689265
wait,693,0.019341874,481,0.019944438,1.031153322
photographi,805,0.022467833,558,0.023137206,1.029792495
process,391,0.010912948,271,0.011236887,1.029683935
much,6753,0.188478607,4680,0.194053987,1.029580971
year,9988,0.278768595,6919,0.286893063,1.029144128
difficult,423,0.011806079,293,0.012149106,1.029055165
leav,885,0.024700661,613,0.025417755,1.029031354
messag,1307,0.03647883,905,0.037525397,1.028689709
collect,419,0.011694437,290,0.012024713,1.028242093
within,422,0.011778169,292,0.012107642,1.027973228
attend,490,0.013676072,339,0.014056475,1.027815166
entir,399,0.01113623,276,0.011444209,1.027655593
think,7472,0.20854615,5166,0.214205747,1.027138344
hard,3037,0.084763739,2099,0.087034042,1.0267839
pictur,797,0.022244551,550,0.02280549,1.025216936
wont,915,0.025537972,631,0.026164117,1.024518179
quick,689,0.019230232,475,0.01969565,1.024202405
level,482,0.01345279,332,0.013766223,1.023298763
hang,2401,0.067012755,1652,0.068499399,1.022184489
know,9737,0.271763097,6699,0.277770867,1.022106644
ass,419,0.011694437,288,0.011941784,1.021150768
etc,1326,0.037009127,911,0.037774184,1.020672131
tri,9221,0.257361355,6329,0.262428992,1.019690744
varieti,446,0.012448017,306,0.012688145,1.019290488
listen,2199,0.061374864,1508,0.062528507,1.018796668
far,1676,0.04677775,1149,0.047642742,1.018491522
imagin,572,0.015964721,392,0.016254095,1.018125798
america,467,0.013034134,320,0.013268649,1.01799232
artist,1267,0.035362416,868,0.03599121,1.01778141
one,8812,0.245946021,6035,0.250238421,1.017452609
get,12113,0.338078093,8294,0.343906788,1.017240675
simpl,1240,0.034608836,849,0.035203384,1.017179055
say,5347,0.149236652,3660,0.151760169,1.016909501
respons,586,0.016355466,401,0.016627275,1.016618855
west,645,0.018002177,441,0.018285856,1.015758063
student,897,0.025035586,613,0.025417755,1.015265048
arent,423,0.011806079,289,0.011983248,1.01500663
word,1791,0.04998744,1223,0.050711117,1.014477163
never,3338,0.093164755,2279,0.094497657,1.014306939
mix,602,0.016802032,411,0.017041921,1.014277366
two,2484,0.069329314,1695,0.070282373,1.013746843
writer,406,0.011331603,277,0.011485674,1.013596586
differ,2480,0.069217673,1691,0.070116515,1.012985737
search,509,0.014206369,347,0.014388191,1.012798609
sound,1174,0.032766753,800,0.033171622,1.012356076
ski,894,0.024951855,609,0.025251897,1.012024852
said,1295,0.036143906,882,0.036571713,1.011836217
board,608,0.016969494,414,0.017166314,1.011598474
els,1707,0.047642971,1162,0.04818178,1.011309322
like,27933,0.779619861,19007,0.788116267,1.010898139
drink,2146,0.059895615,1460,0.06053821,1.01072857
lie,459,0.012810852,312,0.012936932,1.009841728
first,2778,0.077534958,1887,0.078243563,1.009139167
